batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
693,11:59:29,5.577,7.46,5.771,0.743,2.574,7.321,9.631,2.564,2.376,5.477
290,14:23:09,2.963,1.866,2.239,9.309,6.372,9.228,2.691,0.549,2.754,4.598
238,01:42:34,1.764,6.886,6.419,6.862,7.123,6.289,9.597,3.254,2.074,4.4
201,06:21:58,7.567,6.286,6.81,0.754,4.912,8.726,5.969,0.229,8.306,5.138
707,20:55:01,9.715,6.453,9.507,3.234,9.827,7.16,0.528,4.741,8.007,8.902
169,08:59:03,0.237,9.346,3.167,2.463,4.976,9.702,7.402,4.692,2.935,4.826
607,05:45:05,1.574,9.257,5.415,2.02,1.377,0.924,3.853,8.197,8.91,3.1
979,12:18:37,6.925,4.259,4.132,4.297,1.542,7.851,9.33,9.666,1.559,4.328
271,20:46:50,5.506,3.479,7.077,7.792,9.372,1.279,5.066,9.521,7.648,7.017
83,14:58:03,5.824,9.778,4.486,1.588,8.272,7.572,0.881,6.916,5.101,2.967
