batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
891,13:40:47,2.959,4.902,0.124,4.152,6.641,5.65,9.755,5.104,0.892,5.521
156,09:25:16,1.541,6.867,9.052,1.272,2.588,8.721,5.841,3.042,4.715,1.208
843,07:54:44,5.011,1.81,6.785,8.977,5.328,6.626,2.016,9.762,8.386,7.673
83,23:18:49,2.916,1.337,3.786,2.395,3.826,9.763,6.799,4.888,1.513,1.009
635,22:53:28,2.281,8.881,7.745,0.498,4.171,0.852,3.201,4.724,0.769,2.784
331,16:26:19,6.501,4.642,7.306,0.38,2.644,1.265,8.035,3.764,1.818,0.337
251,05:36:10,2.013,0.561,3.865,0.8,0.997,3.435,4.085,6.776,3.851,6.837
58,05:37:23,0.492,9.379,1.215,7.322,3.253,3.042,2.09,1.784,5.522,3.419
285,07:18:03,2.623,8.6,9.391,6.227,6.606,5.919,1.779,3.406,5.973,1.012
794,06:36:23,9.181,5.883,2.531,3.899,6.983,5.034,5.307,6.761,0.987,2.677
